;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1515;Dossier Benelux ;Publication ;PU26017B10;1;Main;
1516;Dossier Transistion Çcologique : Le rÇveil citoyen ;Publication ;PU26018B10;1;Main;
1517;Dossier Start-Up & LevÇes de Fonds ;Publication ;PU26019B10;1;Main;
1518;Dossier La Blockchain ;Publication ;PU26020B10;1;Main;
1519;Dossier les entreprises de nouvelle gÇnÇration ;Publication ;PU26022B10;1;Main;
1520;Dossier Les smart grids ;Publication ;PU26023B10;1;Main;
1521;1;;;;;
1522;The Hight-Rise Building - Architecture, Growth, Density:The Eternal Pursuit of Size;Publication ;PU26024B10;1;Main;
1523;The report 2015 Morocco ;Publication ;PU26013B10;15;Main;
1524;IngÇnierie et mÇdecine au service du diagnostic, de laprÇvention et de la thÇrapie;Publication ;PU26025B10;1;Main;
1525;Le tableau pÇriodique des ÇlÇments chimiques auc?ur de l'ordre de la matiäre et de l'univers;Publication ;PU26026B10;1;Main;
1526;Patrimoine naturel et dÇveloppement durable ;Publication ;PU26027B10;1;Main;
1527;Catalogue Officiel - Foire Internationale de Casablanca,04 au 07 Octobre 2017;Publication ;PU26028B10;1;Main;
? Page 15 of 20, showing 100 records out of 1942 total, starting on record 1401, ending on 1500;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:15 7/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1528;Dossier MÇtiers de la Mer ;Publication ;PU26029B10;1;Main;
1529;Ces Femmes Marocaines d'Exception qui Brillent dansl'Industrie, la Science et l'Innovation;Publication ;PU26030B10;1;Main;
1530;Careers in Banking & Finance ;Publication ;PU26031B10;1;Main;
1531;Dossier Psylog, Une autre faáon d'apprÇhenderl'Çvaluation psychologique au sein des forces royalesair;Publication ;PU26032B10;1;Main;
1532;Gestion financiäre de l'entreprise (TECHNIQUES DE G) ;Book ;ISBN: 2717849793ISBN_13: 9782717849790;EF 10024B3;1;Main
1533;A Mathematician's Apology (Canto Classics) ;Book ;ISBN: 110760463XISBN_13: 9781107604636;MA 6104B3;1;Main
1534;Cultiver l'intelligence relationnelle ;Book ;ISBN: 2266203185ISBN_13: 9782266203180;DP19093B7;1;Main
1535;VoilÖ ce que j'aurais du dire !: 170 vidÇos et exercicespour avoir de la rÇpartie et s'affirmer.;Book ;ISBN: 2212560133ISBN_13: 9782212560138;DP19094B7;1;Main
1536;Comment Parler En Public (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253061204ISBN_13: 9782253061205;DP19095B7;1;Main
1537;Comment Trouver Le Leader En Vous (Ldp Dev Person)(French Edition);Book ;ISBN: 2253081477ISBN_13: 9782253081470;DP19096B7;1;Main
1538;Pour vaincre sa timidite (French Edition) ;Book ;ISBN: 2850903671ISBN_13: 9782850903670;DP19097B7;1;Main
1539;L'art de la guerre. Suivi de L'art de la guerre de Sun Bin. ;Book ;ISBN_13: 9782743646141 ;DP19098B7;1;Main
1540;Convaincre en moins de 2 minutes: Capter et retenirl'attention, savoir s'adapter Ö son interlocuteur (VieProfessionnelle) (French Edition);Book ;ISBN: 2501139372ISBN_13: 9782501139373;DP19099B7;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch 
Book ;PU26035B10;????? 43??? ?????? ?????????? ??? ?????? : ????? ??????? ????? ;1541;1;Main;
1542;La parole est un sport de combat ;Book ;ISBN: 2709660693ISBN_13: 9782709660693;DP19100B7;1;Main
1543;L'art du pitch: Trouvez l'accroche, soyez convaincants etrÇussissez vos deals;Book ;ISBN: 2212569629ISBN_13: 9782212569629;DP19101B7;1;Main
1544;OPEN Vs CLOSED, application dans le domaine de ladÇfense;Journal ;PU26037B10;1;Main;
1545;OPEN Vs CLOSED, application dans le domaine de ladÇfense;Journal ;PU26037B10;2;Main;
1546;OPEN Vs CLOSED, application dans le domaine de ladÇfense;Journal ;PU26037B10;3;Main;
1547;AFRICA'S CANABIS INDUSTRY TAKES OFF ;Journal ;ISBN_13: 9770141392067ISSN: 15228916;PU26038B10;1;Main
1548;Transformer votre Çquipe de direction ;Journal ;ISBN_13: 3781156318504ISSN: 0017-8012;PU26040B10;1;Main
1549;la Gazette de la SociÇtÇ MathÇmatique de France[Janvier 2022] N¯171;Journal ;ISSN: 02248999 ;PU26041B10;1;Main
1550;la Gazette de la SociÇtÇ MathÇmatique de France [ Avril2022] N¯172;Journal ;ISSN: 02248999 ;PU26042B10;1;Main
1551;le journal des Çnergies renouvelables ;Journal ;ISSN: 24918687 ;PU26043B10;1;Main
1552;African BUSINESS: AFRICA'S TOP 250 COMPANIES ;Journal ;PU26044B10;1;Main;
1553;La Lettre de l'AcadÇmie Hassan II des sciences etTechniques - 40;Journal ;ISSN: 2028-7380 ;JA 25009B10;2;Main
1554;La Lettre de l'AcadÇmie Hassan II des sciences etTechniques - 37;Journal ;ISSN: 2028-7380 ;PU26048B10;1;Main
1555;La Lettre de l'AcadÇmie Hassan II des sciences etTechniques - 37;Journal ;ISSN: 2028-7380 ;PU26048B10;2;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1556;La Lettre de l'AcadÇmie Hassan II des sciences etTechniques : NUMERO SPECIAL;Journal ;ISSN: 2028-7380 ;PU26049B10;1;Main
1557;Voyage Au Bout De LA Nuit (Folio) (French Edition) (FolioS.);Book ;ISBN: 2070360288ISBN_13: 9782070360284;FR16198B5;2;Main
1558;Le Nom de la Rose (Ldp Litterature) (French Edition) ;Book ;ISBN: 2253033138ISBN_13: 9782253033134;FR16098B5;2;Main
1559;The Handmaid's Tale ;Book ;ISBN: 038549081XISBN_13: 9780385490818;LA 17117B5;1;Main
1560;L'arabe du futur (French Edition) ;Book ;ISBN: 2370730145ISBN_13: 9782370730145;FR16209B5;1;Main
1561;L'Arabe du futur - Tome 2 (French Edition) ;Book ;ISBN: 2370730544ISBN_13: 9782370730541;FR16210B5;1;Main
1562;L'Arabe du futur - volume 3 - une jeunesse au moyenorient 1985-1987 (French Edition);Book ;ISBN: 2370730943ISBN_13: 9782370730947;FR16211B5;1;Main
1563;BUSINESS MODEL NOUVELLE GENERATION ;Book ;ISBN: 2744064874ISBN_13: 9782744064876;BU14012B4;1;Main
1564;Nedjma ;Book ;ISBN: 2020289474ISBN_13: 9782020289474;FR16212B5;1;Main
1565;Caste: The International Bestseller ;Book ;ISBN: 0241486513ISBN_13: 9780241486511;LA 17092B5;1;Main
1566;A Promised Land (Random House Large Print) ;Book ;ISBN: 0525633766ISBN_13: 9780525633761;LA 17093B5;1;Main
1567;Becoming ;Book ;ISBN: 1524763144ISBN_13: 9781524763145;LA 17094B5;1;Main
1568;The Midnight Library ;Book ;ISBN: 1786892731ISBN_13: 9781786892737;LA 17095B5;1;Main
1569;The Testaments: A Novel (The Handmaid's Tale) ;Book ;ISBN: 0525562621ISBN_13: 9780525562627;LA 17096B5;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1570;Brave New World ;Book ;ISBN: 0099477467ISBN_13: 9780099477464;LA 17097B5;1;Main
1571;Stay Close: NOW A MAJOR NETFLIX SHOW ;Book ;ISBN: 1398705055ISBN_13: 9781398705050;LA 17098B5;1;Main
1572;Level 1: 20,000 Leagues Under the Sea (Pearson EnglishGraded Readers);Book ;ISBN: 1405842768ISBN_13: 9781405842761;LA 17099B5;1;Main
1573;Level 2: Lost In New York (Pearson English GradedReaders);Book ;ISBN: 1405876972ISBN_13: 9781405876971;LA 17100B5;1;Main
1574;Level 6: Anna Karenina (Pearson English GradedReaders);Book ;ISBN: 1405865296ISBN_13: 9781405865296;LA 17101B5;1;Main
1575;Level 1: Run For Your Life (Pearson English GradedReaders);Book ;ISBN: 1405869704ISBN_13: 9781405869706;LA 17102B5;1;Main
1576;Level 2: Black Beauty (Pearson English Graded Readers) ;Book ;ISBN: 1405842814ISBN_13: 9781405842815;LA 17103B5;1;Main
1577;Level 2: The Mysterious Island (Pearson English GradedReaders);Book ;ISBN: 140584289XISBN_13: 9781405842891;LA 17104B5;1;Main
1578;Level 3: Canterbury Tales (Pengin Readers, Level 3) ;Book ;ISBN: 1405862327ISBN_13: 9781405862325;LA 17105B5;1;Main
1579;Level 2: The Jungle Book (Pearson English GradedReaders);Book ;ISBN: 1405842865ISBN_13: 9781405842860;LA 17106B5;1;Main
1580;Northanger Abbey ;Book ;ISBN: 1408221101ISBN_13: 9781408221105;LA 17107B5;1;Main
1581;Level 5: Round the World in Eighty Days (PearsonEnglish Graded Readers);Book ;ISBN: 1405865180ISBN_13: 9781405865180;LA 17108B5;1;Main
1582;Level 2: Marley and Me (Pearson English GradedReaders);Book ;ISBN: 1408263769ISBN_13: 9781408263761;LA 17109B5;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1583;Level 2: White Fang (2nd Edition) (Penguin Readers,Level 2);Book ;ISBN: 140585538XISBN_13: 9781405855389;LA 17110B5;1;Main
1584;Level 2: Tales from the Arabian Nights (Pearson EnglishGraded Readers);Book ;ISBN: 1405855398ISBN_13: 9781405855396;LA 17111B5;1;Main
1585;Level 3: Leaving Microsoft to Change the World (PearsonEnglish Graded Readers);Book ;ISBN: 1408231719ISBN_13: 9781408231715;LA 17112B5;1;Main
1586;Level 1: Surfer! (Pearson English Graded Readers) ;Book ;ISBN: 1405869690ISBN_13: 9781405869690;LA 17113B5;1;Main
1587;Level 1: Battle of Newton Road (Pearson English GradedReaders);Book ;ISBN: 1405876948ISBN_13: 9781405876940;LA 17114B5;1;Main
1588;Level 6: Saving Private Ryan (Pearson English GradedReaders);Book ;ISBN: 1405882719ISBN_13: 9781405882712;LA 17115B5;1;Main
1589;Level 1: Daniel Radcliffe (Pearson English GradedReaders);Book ;ISBN: 1405867655ISBN_13: 9781405867658;LA 17116B5;1;Main
1590;DÇveloppement et architecture des Applications WebModernes - Retrouver les fondamentaux;Book ;ISBN: 2409029523ISBN_13: 9782409029523;IT 8044B3;1;Main
1591;Langage C - Maåtriser la programmation procÇdurale(avec exercices pratiques) (2e Çdition);Book ;ISBN: 2409031013ISBN_13: 9782409031014;IT 8045B3;1;Main
1592;C++ - Des fondamentaux du langage aux applications(3e Çdition);Book ;ISBN: 2409030203ISBN_13: 9782409030208;IT 8046B3;1;Main
1593;Programmer en MATLAB (French Edition) ;Book ;ISBN: 2409028128ISBN_13: 9782409028120;IT 8047B3;1;Main
1594;Green IT et accessibilitÇ - DÇveloppez votre site webNumÇrique Responsable;Book ;ISBN: 2409033032ISBN_13: 9782409033032;IT 8048B3;1;Main
1595;HTML5 et CSS3 - Maåtrisez les standards de la crÇationde sites web (2e Çdition);Book ;ISBN: 2409027563ISBN_13: 9782409027567;IT 8049B3;1;Main
1596;Data-driven science and engineering : machine learning,dynamical systems, and control;Book ;ISBN_13: 9781108422093 ;IT 8050B3;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1597;Deep learning with Python ;Book ;ISBN: 1617294438ISBN_13: 9781617294433;IT 8051B3;1;Main
1598;Recherche d'information - Applications, modäles etalgorithmes: Data mining, dÇcisionnel et big data;Book ;ISBN: 2212673760ISBN_13: 9782212673760;IT 8052B3;1;Main
1599;Programmer en langage C, 5e Çdition: Cours etexercices corrigÇs.;Book ;ISBN: 2212118252ISBN_13: 9782212118254;IT 8053B3;1;Main
1600;Matrix Computations (Johns Hopkins Studies in theMathematical Sciences, 3);Book ;ISBN: 1421407949ISBN_13: 9781421407944;IT 8054B3;1;Main
1601;La prestation logistique: Origines, enjeux etperspectives.;Book ;ISBN: 2847691413ISBN_13: 9782847691412;GI 12031B4;1;Main
1602;Gestion de production: Les fondamentaux et les bonnespratiques;Book ;ISBN: 2212573073ISBN_13: 9782212573077;GI 12032B4;1;Main
1603;Design of Rockets and Space Launch Vehicles (AIAAEducation);Book ;ISBN: 1624105939ISBN_13: 9781624105937;PH1076B1;1;Main
1604;Crowds in Equations: An Introduction to the MicroscopicModeling of Crowds (Advanced Textbooks inMathematics);Book ;ISBN: 178634551XISBN_13: 9781786345516;MA 6105B3;1;Main
1605;Mathematics for Machine Learning ;Book ;ISBN: 110845514XISBN_13: 9781108455145;MA 6106B3;1;Main
1606;Analysis (Graduate Studies in Mathematics) ;Book ;ISBN: 0821827839ISBN_13: 9780821827833;MA 6107B3;1;Main
1607;Manufacturing Consent : Political Economy of the MassMedia;Book ;ISBN: 0099533111ISBN_13: 9780099533115;PI 21019B8;1;Main
1608;Sleight of Mind: 75 Ingenious Paradoxes in Mathematics,Physics, and Philosophy (Mit Press);Book ;ISBN: 0262542293ISBN_13: 9780262542296;PI 21020B8;1;Main
1609;A Brief History of Time ;Book ;ISBN: 0553176986ISBN_13: 9780553176988;PI 21021B8;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1610;Brief Answers To The Big Questions ;Book ;ISBN: 1473695996ISBN_13: 9781473695993;PI 21022B8;1;Main
1611;RÇussir le financement de votre crÇation d'entreprise:Combien coñtera votre projet ? Quels sont vos moyenset partenaires financiers pour crÇer ? ... ? Quest estvotre risque financier.;Book ;ISBN: 2867394503ISBN_13: 9782867394508;BU14013B4;1;Main
1612;Le business plan en pratique: Conseils d'un chefd'entreprise pour construire et rÇdiger votre businessplan;Book ;ISBN_13: 9791039700047 ;BU14014B4;1;Main
1613;Votre business model sur mesure: La boåte Ö outils pourconcevoir, entreprendre, agir, manager (EYROLLES)(French Edition);Book ;ISBN: 2212573146ISBN_13: 9782212573145;BU14015B4;1;Main
1614;The Design Thinking Playbook: Mindful DigitalTransformation of Teams, Products, Services,Businesses and Ecosystems (Design Thinking Series);Book ;ISBN: 1119467470ISBN_13: 9781119467472;BU14016B4;1;Main
1615;Histoire du Maroc ;Book ;ISBN: 2729863524ISBN_13: 9782729863524;HP20070B8;1;Main
1616;Le Passe Simple (Collection Folio) (French Edition) ;Book ;ISBN: 2070377288ISBN_13: 9782070377282;FR16213B5;1;Main
1617;Cronopes Et Fameux (Folio) (French Edition) ;Book ;ISBN: 2070385779ISBN_13: 9782070385775;FR16214B5;1;Main
1618;Bonheur d'occasion ;Book ;ISBN: 2764606990ISBN_13: 9782764606995;FR16215B5;1;Main
1619;Ce qu'il advint du sauvage blanc (Blanche) (FrenchEdition);Book ;ISBN: 2070136620ISBN_13: 9782070136629;FR16216B5;1;Main
1620;Votre temps est infini - Et si votre journÇe Çtait pluslongue que vous ne le pensiez ?;Book ;ISBN: 2412049408ISBN_13: 9782412049402;DP19102B7;1;Main
1621;Votre cerveau est extraordinaire ! 50 astuces dementaliste qui vont vous changer la vie;Book ;ISBN: 2412022917ISBN_13: 9782412022917;DP19103B7;1;Main
1622;Comprendre la finance: Pour les non-financiers et lesÇtudiants;Book ;ISBN: 2212574568ISBN_13: 9782212574562;EF 10027B3;1;Main
1623;L'essentiel de la finance Ö l'usage des managers :Maåtriser les chiffres de l'entreprise;Book ;ISBN_13: 9782212558913 ;EF10028B3;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1624;Introduction au calcul stochastique appliquÇ Ö la finance- nouvelle Çdition;Book ;ISBN: 2729871985ISBN_13: 9782729871987;EF 10029B3;1;Main
1625;Paul Wilmott Introduces Quantitative Finance ;Book ;ISBN: 0470319585ISBN_13: 9780470319581;EF 10030B3;1;Main
1626;Fundamentals and applications of renewable energy ;Book ;ISBN: 1260455300ISBN_13: 9781260455304;EN3013B2;1;Main
1627;La naissance de la physique moderne racontÇe au fildes Conseils Solvay (UBLIRE);Book ;ISBN: 2800414499ISBN_13: 9782800414492;PH 607B1;1;Main
? Page 16 of 20, showing 100 records out of 1942 total, starting on record 1501, ending on 1600;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:16 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1628;GÇnie Çlectrique - Cours complet illustrÇ - Les grandesfonctions de la chaåne d?information - IUT, BTS, CPGE (TSI etATS), Çcoles d?ingÇnieurs;Book ;ISBN: 2340013941ISBN_13: 9782340013940;PH 608B1;1;Main
1629;The Innovator's Dilemma: When New Technologies CauseGreat Firms to Fail (Management of Innovation andChange);Book ;ISBN: 1633691780ISBN_13: 9781633691780;BU14007B4;2;Main
1630;GÇnie mÇcanique - 2e Çd. - Conception, MatÇriaux,Fabrication, Applications industrielles: Conception,MatÇriaux, Fabrication, Applications industrielles(DunodTech) (French Edition);Book ;ISBN: 2100821210ISBN_13: 9782100821211;PH 609B1;1;Main
1631;Toute la Physique - 2e ed. (Sciences Sup) (French Edition) ;Book ;ISBN: 2100820265ISBN_13: 9782100820269;PH 610B1;1;Main
1632;L'ÇlectricitÇ au coeur des dÇfis africains - manuel surl'Çlectrification en Afrique (HOMMES ET SOCIE);Book ;ISBN: 2811103767ISBN_13: 9782811103767;EN 3014B2;1;Main
1633;Actu IA N¯ 6 ;Book ;ISBN_13: 3781167806908 ;PU26052B10;1;Main
1634;L'usine du futur - StratÇgies et dÇploiement - 2e Çd. -Industrie 4.0, de l'IoT aux jumeaux numÇriqu: Industrie 4.0,de l'IoT aux jumeaux numÇriques (Hors Collection) (FrenchEdition);Book ;ISBN: 2100823299ISBN_13: 9782100823291;IT 8055B3;1;Main
1635;Management d'un projet systäme d'Information -8e Çd. -Principes, techniques, mise en oeuvre et outi: Principes,techniques, mise en oeuvre et outils;Book ;ISBN: 2100747363ISBN_13: 9782100747368;IT 8056B3;1;Main
1636;Programmation Arduino: DÇveloppez rapidement vospremiers programmes;Book ;ISBN: 2807327001ISBN_13: 9782807327009;IT 8057B3;1;Main
1637;Arduino - 2e Çd. - Maåtrisez sa programmation et ses cartesd'interface (shields): Maåtrisez sa programmation et sescartes d'interface (shields) (Tous makers !) (French Edition);Book ;ISBN: 2100807153ISBN_13: 9782100807154;IT 8058B3;1;Main
1638;Python pour la physique: Calcul, graphisme, simulation ;Book ;ISBN: 2807328903ISBN_13: 9782807328907;IT 8059B3;1;Main
1639;Marketing: Le manuel complet du marketing, labellisÇ par leColläge de Labellisation de la FNEGE;Book ;ISBN: 2311407171ISBN_13: 9782311407174;MK 15006B4;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1640;Mercator - 13e Çd. - Livre + e-book inclus: Tout le marketingÖ l'äre de la data et du digital;Book ;ISBN: 2100821288ISBN_13: 9782100821280;MK 15007B4;1;Main
1641;Le marketing - fondements et pratique (GESTION G) ;Book ;ISBN: 2717866043ISBN_13: 9782717866049;MK 15008B4;1;Main
1642;Principes de l'Çconomie ;Book ;ISBN: 2807336167ISBN_13: 9782807336162;EF 10031B3;1;Main
1643;Introduction Ö l'analyse numÇrique des Çquations auxdÇrivÇes partielles: MathÇmatiques appliquÇes pour lamaåtrise (Sciences Sup) (French Edition);Book ;ISBN: 2100486454ISBN_13: 9782100486458;MA 6108B3;1;Main
1644;Management industriel et logistique - concevoir et piloter lasupply chain (GESTION DIRIGEE);Book ;ISBN: 2717866175ISBN_13: 9782717866179;GI 12034B4;1;Main
1645;L'ART D'AVOIR TOUJOURS RAISON ;Book ;ISBN: 2842420756ISBN_13: 9782842420758;PI 21023B8;1;Main
1646;Textes Cles de Philosophie de la Logique: Consequence,Preuve Et Verite (French Edition);Book ;ISBN: 2711617963ISBN_13: 9782711617968;PI 21024B8;1;Main
1647;Textes Cles de Philosophie Des Sciences: Vol. I: Theories,Experiences Et Methodes (French Edition);Book ;ISBN: 2711616258ISBN_13: 9782711616251;PI 21025B8;1;Main
1648;Textes Cles de Philosophie Des Mathematiques: Vol. 1:Ontologie, Verite Et Fondements (French Edition);Book ;ISBN: 2711624781ISBN_13: 9782711624782;PI 21026B8;1;Main
1649;Philosophie De La Connaissance: Croyance, Connaissance,Justification (Textes Cles) (French Edition);Book ;ISBN: 2711616665ISBN_13: 9782711616664;PI 21027B8;1;Main
1650;Philosophie Des Sciences: Naturalismes Et Realismes (2)(Textes Cles) (French Edition);Book ;ISBN: 2711616827ISBN_13: 9782711616824;PI 21028B8;1;Main
1651;Textes Cles de Philosophie Des Mathematiques: Vol. 2:Logique, Preuve Et Pratiques (French Edition);Book ;ISBN: 2711626547ISBN_13: 9782711626540;PI 21029B8;1;Main
1652;Quelle stratÇgie pour votre stratÇgie ? ;Book ;ISBN: 237615040XISBN_13: 9782376150404;BU14017B4;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1653;L'aventure ambiguâ ;Book ;ISBN: 2753103593ISBN_13: 9782753103597;FR16217B5;1;Main
1654;La Mort du roi Tsongor - Classiques et Contemporains ;Book ;ISBN: 2210756669ISBN_13: 9782210756663;FR16218B5;1;Main
1655;Tous des oiseaux (French Edition) ;Book ;ISBN: 2330097549ISBN_13: 9782330097547;FR16219B5;1;Main
1656;Le piano oriental (Albums) (French Edition) ;Book ;ISBN: 2203092084ISBN_13: 9782203092082;FR16220B5;1;Main
1657;Dans les foràts de SibÇrie ;Book ;ISBN: 2203198826ISBN_13: 9782203198821;FR16221B5;1;Main
1658;Le Principe responsabilitÇ: Une Çthique pour la civilisationtechnologique;Book ;ISBN: 2081307693ISBN_13: 9782081307698;SH18057B6;1;Main
1659;La SociÇtÇ du risque: SUR LA VOIE D'UNE AUTREMODERNITE;Book ;ISBN: 2081218887ISBN_13: 9782081218888;SH18058B6;1;Main
1660;Un nouveau modäle Çconomique: DÇveloppement, justice,libertÇ;Book ;ISBN: 2738112315ISBN_13: 9782738112316;SH18059B6;1;Main
1661;Textes Cles de l'Histoire Des Sciences: Methodes, Styles EtControverses (French Edition);Book ;ISBN: 2711619338ISBN_13: 9782711619337;SH18060B6;1;Main
1662;Pour une Çthique du numÇrique ;Book ;ISBN: 2130833489ISBN_13: 9782130833482;SH18061B6;1;Main
1663;La thÇorie politique contemporaine: Courants, auteurs,dÇbats;Book ;ISBN: 2200625812ISBN_13: 9782200625818;SH18062B6;1;Main
1664;Notre humanitÇ: D'Aristote aux neurosciences (Histoire dela PensÇe) (French Edition);Book ;ISBN: 2213651345ISBN_13: 9782213651347;SH18063B6;1;Main
1665;Actu IA N¯ 7 ;Book ;ISBN: 1167806908 ;PU26051B10;1;Main
1666;Level 2: Persuasion (Pearson English Graded Readers) ;Book ;ISBN: 1405869496ISBN_13: 9781405869492;LA 17119B5;1;Main
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1667;Level 2: Gandhi (Pearson English Graded Readers) ;Book ;ISBN: 140587693XISBN_13: 9781405876933;LA 17120B5;1;Main
1668;The Merriam-Webster Dictionary, Trade Paperback, NewestEdition;Book ;ISBN: 0877796688ISBN_13: 9780877796688;DI 24010B10;1;Main
1669;Mastering the Dynamics of Innovation ;Book ;ISBN: 0875847404ISBN_13: 9780875847405;BU14018B4;1;Main
1670;Exercices en langage C++: 178 exercices corrigÇs (FrenchEdition);Book ;ISBN: 2212676638ISBN_13: 9782212676631;IT 8060B3;1;Main
1671;Mathematical Foundations of Quantum Mechanics: NewEdition (Princeton Landmarks in Mathematics and Physics,53);Book ;ISBN: 0691178577ISBN_13: 9780691178578;MA 6109B3;1;Main
1673;Multiscale Modeling and Simulation in Science (LectureNotes in Computational Science and Engineering, 66);Book ;ISBN: 354088856XISBN_13: 9783540888567;MA 6111B3;1;Main
1674;Avantage Supply Chain: Les 5 leviers pour faire de votreSupply Chain un atout compÇtitif (French Edition);Book ;ISBN: 2708133462ISBN_13: 9782708133464;GI 12035B4;1;Main
1675;Logistics and Supply Chains in Emerging Markets ;Book ;ISBN: 0749472405ISBN_13: 9780749472405;GI 12036B4;1;Main
1676;Introduction to Renewable Energy for Engineers ;Book ;ISBN: 0133360865ISBN_13: 9780133360868;PH 611B1;1;Main
1677;Introduction to Aircraft Flight Mechanics: Performance,Static Stability, Dynamic Stability, Classical FeedbackControl, and State-Space Foundations (AIAA Education);Book ;ISBN: 1624102549ISBN_13: 9781624102547;PH 612B1;1;Main
1678;Designing Unmanned Aircraft Systems: A ComprehensiveApproach (AIAA Education Series);Book ;ISBN: 1624102611ISBN_13: 9781624102615;PH 613B1;1;Main
1679;Introduction to Aircraft Flight Mechanics: Performance,Static Stability, Dynamic Stability, Classical FeedbackControl, and State-Space Foundations (AIAA Education);Book ;ISBN: 1624102549ISBN_13: 9781624102547;PH 612B1;2;Main
1680;THOSE WHO INSPIRE ;Book ;PU26008B10;11;Main;
1681;THOSE WHO INSPIRE ;Book ;PU26008B10;12;Main;
? 04/06/2025 23:52 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:17 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1682;THOSE WHO INSPIRE ;Book ;PU26008B10;13;Main;
1683;THOSE WHO INSPIRE ;Book ;PU26008B10;14;Main;
1684;Dossier l'intelligence Artificiel ;Journal ;PU26054B10;1;Main;
1685;Dossier l'intelligence Artificiel ;Journal ;PU26054B10;2;Main;
1686;Dossier l'intelligence Artificiel ;Journal ;PU26054B10;3;Main;
1687;Dossier l'intelligence Artificiel ;Journal ;PU26054B10;4;Main;
1688;De la Performance Ö l'excellence: Devenir une entrepriseleader (French Edition);Book ;ISBN: 274406565XISBN_13: 9782744065651;BU14019B4;1;Main
1689;Europe's Energy Crisis : Will Africa Ride To the Rescue? ;Journal ;ISSN: 2606-3778 ;PU26055B10;1;Main
1690;StratÇgique, 12e + MyLab ;Book ;ISBN: 2326002431ISBN_13: 9782326002432;BU14020B4;1;Main
1691;Servitudes virtuelles ;Book ;ISBN: 2021440311ISBN_13: 9782021440317;SH18064B6;1;Main
1692;Lean Startup: Adoptez l'innovation continue (FrenchEdition);Book ;ISBN: 2744066400ISBN_13: 9782744066405;BU14021B4;1;Main
